名称,分类,等级
ないまでも/てまでも,程度,N1
はめになる/はめにおちいる ,程度,N1
を限りに,程度,N1
とまではいかないが/とまではいかないとしても,程度,N1
とまではいわないが/とまではいわないとしても ,程度,N1
にあたいする/にあたいしない ,程度,N1
そればかり ,程度,N1
ことこのうえない ,程度,N1
ぐらいのものだ,程度,N1
たいして～ない ,程度,N1
いかに～か,程度,N1
せめて/せめて～だけでも/せめて～なりとも,程度,N1
てばかリもいられない,程度,N1
にのぼる,程度,N1
ことがあります,程度,N1
なみ ,比較,N1
ほどの～ではない,比較,N1
とはくらべものにならない ,比較,N1
さほど～ない ,比較,N1
にしくはない ,申し出,N1
てしかるべきだ,助言,N1
てもしらない ,助言,N1
たまえ,命令,N1
するんじゃない,命令,N1
べからざる,禁止,N1
べからず,禁止,N1
まじき,禁止,N1
いわずもがな ,禁止,N1
するんじゃない,禁止,N1
ざるべからず,義務,N1
までもない/までもなく/までのこともない,不必要,N1
にはおよばない ,不必要,N1
よし ,伝聞,N1
じみる ,伝聞,N1
ものとおもわれる,引用,N1
をかわきりに（して）/かわきりに ,起点・終点,N1
にしてからが,起点・終点,N1
を機に,起点・終点,N1
を振り出しに,起点・終点,N1
をまえにして/をまえにした ,起点・終点,N1
にいたるまで/いたるまで ,限界,N1
をもって/もって,限界,N1
におよんで ,限界,N1
をさかいにして ,限界,N1
といったところだ/というところだ,範囲,N1
ぐるみ,範囲,N1
にいうところの/でいうところの,範囲,N1
ばかり（副助词）,範囲,N1
